isincode;marketcode;referencedate;endvaluedate;pricetype;pricevalue;volume;mintoday;maxtoday;Unnamed: 9
FR0013516549;MOT;02/01/2023;03/01/2023;RP;80,25;0;0;0;
FR0013516549;MOT;03/01/2023;04/01/2023;RP;80,68;0;0;0;
FR0013516549;MOT;04/01/2023;05/01/2023;RP;81,45;0;0;0;
FR0013516549;MOT;05/01/2023;06/01/2023;LP;81,39;22000;81,39;81,39;
FR0013516549;MOT;06/01/2023;09/01/2023;RP;81,61;0;0;0;
FR0013516549;MOT;09/01/2023;10/01/2023;RP;81,61;0;0;0;
FR0013516549;MOT;10/01/2023;11/01/2023;RP;81,33;0;0;0;
FR0013516549;MOT;11/01/2023;12/01/2023;RP;82,06;0;0;0;
FR0013516549;MOT;12/01/2023;13/01/2023;LP;82,5;1000;82,5;82,5;
FR0013516549;MOT;13/01/2023;16/01/2023;RP;82,57;0;0;0;
FR0013516549;MOT;16/01/2023;17/01/2023;RP;82,38;0;0;0;
FR0013516549;MOT;17/01/2023;18/01/2023;RP;83,08;0;0;0;
FR0013516549;MOT;18/01/2023;19/01/2023;RP;83,78;0;0;0;
FR0013516549;MOT;19/01/2023;20/01/2023;RP;83,37;0;0;0;
FR0013516549;MOT;20/01/2023;23/01/2023;RP;82,81;0;0;0;
FR0013516549;MOT;23/01/2023;24/01/2023;RP;82,49;0;0;0;
FR0013516549;MOT;24/01/2023;25/01/2023;RP;82,58;0;0;0;
FR0013516549;MOT;25/01/2023;26/01/2023;RP;82,72;0;0;0;
FR0013516549;MOT;26/01/2023;27/01/2023;RP;82,4;0;0;0;
FR0013516549;MOT;27/01/2023;30/01/2023;RP;81,92;0;0;0;
FR0013516549;MOT;30/01/2023;31/01/2023;LP;81,9;9000;81,9;81,9;
FR0013516549;MOT;31/01/2023;03/02/2023;LP;81,93;10000;81,93;81,93;
FR0013516549;MOT;03/02/2023;06/02/2023;RP;82,55;0;0;0;
FR0013516549;MOT;06/02/2023;07/02/2023;RP;81,95;0;0;0;
FR0013516549;MOT;07/02/2023;08/02/2023;RP;81,85;0;0;0;
FR0013516549;MOT;08/02/2023;09/02/2023;LP;81,4;10000;81,4;81,4;
FR0013516549;MOT;09/02/2023;10/02/2023;RP;81,84;0;0;0;
FR0013516549;MOT;10/02/2023;13/02/2023;RP;81,34;0;0;0;
FR0013516549;MOT;13/02/2023;14/02/2023;RP;81,23;0;0;0;
FR0013516549;MOT;14/02/2023;15/02/2023;RP;80,88;0;0;0;
FR0013516549;MOT;15/02/2023;16/02/2023;RP;80,65;0;0;0;
FR0013516549;MOT;16/02/2023;17/02/2023;RP;80,5;0;0;0;
FR0013516549;MOT;17/02/2023;20/02/2023;RP;80,73;0;0;0;
FR0013516549;MOT;20/02/2023;21/02/2023;LP;80,73;5000;80,73;80,73;
FR0013516549;MOT;21/02/2023;22/02/2023;LP;80,28;10000;80,28;80,28;
FR0013516549;MOT;22/02/2023;23/02/2023;LP;80,23;30000;80,23;80,23;
FR0013516549;MOT;23/02/2023;24/02/2023;RP;80,42;0;0;0;
FR0013516549;MOT;24/02/2023;27/02/2023;LP;79,99;4000;79,99;79,99;
FR0013516549;MOT;27/02/2023;28/02/2023;LP;80,04;25000;80,04;80,04;
FR0013516549;MOT;28/02/2023;01/03/2023;RP;79,44;0;0;0;
FR0013516549;MOT;01/03/2023;02/03/2023;RP;78,99;0;0;0;
FR0013516549;MOT;02/03/2023;03/03/2023;RP;78,82;0;0;0;
FR0013516549;MOT;03/03/2023;06/03/2023;RP;78,9;0;0;0;
FR0013516549;MOT;06/03/2023;07/03/2023;RP;78,88;0;0;0;
FR0013516549;MOT;07/03/2023;08/03/2023;RP;78,89;0;0;0;
FR0013516549;MOT;08/03/2023;09/03/2023;RP;79,25;0;0;0;
FR0013516549;MOT;09/03/2023;10/03/2023;RP;79,31;0;0;0;
FR0013516549;MOT;10/03/2023;13/03/2023;RP;80,12;0;0;0;
FR0013516549;MOT;13/03/2023;14/03/2023;RP;81,52;0;0;0;
FR0013516549;MOT;14/03/2023;15/03/2023;LP;80,95;15000;80,95;81,15;
FR0013516549;MOT;15/03/2023;16/03/2023;LP;80,34;10000;80,34;80,34;
FR0013516549;MOT;16/03/2023;17/03/2023;RP;81,79;0;0;0;
FR0013516549;MOT;17/03/2023;20/03/2023;RP;82,45;0;0;0;
FR0013516549;MOT;20/03/2023;21/03/2023;RP;82,55;0;0;0;
FR0013516549;MOT;21/03/2023;22/03/2023;RP;81,71;0;0;0;
FR0013516549;MOT;22/03/2023;23/03/2023;RP;81,21;0;0;0;
FR0013516549;MOT;23/03/2023;24/03/2023;LP;82,14;100000;82,14;82,14;
FR0013516549;MOT;24/03/2023;27/03/2023;LP;83,16;60000;83,16;83,16;
FR0013516549;MOT;27/03/2023;28/03/2023;LP;83,26;0;83,26;83,26;
FR0013516549;MOT;28/03/2023;29/03/2023;RP;81,72;0;0;0;
FR0013516549;MOT;29/03/2023;30/03/2023;RP;81,64;0;0;0;
