"Date","Price","Open","High","Low","Change %"
"03/27/2026","86.390","86.280","86.390","86.060","-0.27%"
"03/26/2026","86.620","86.780","86.780","86.480","-0.40%"
"03/25/2026","86.970","86.760","87.020","86.760","0.33%"
"03/24/2026","86.680","86.910","87.000","86.680","-0.23%"
"03/23/2026","86.880","86.350","87.190","86.090","0.43%"
"03/20/2026","86.510","87.200","87.230","86.510","-0.67%"
"03/19/2026","87.090","87.060","87.140","87.000","-0.30%"
"03/18/2026","87.350","87.720","87.720","87.320","-0.24%"
"03/17/2026","87.560","87.500","87.610","87.500","0.26%"
"03/16/2026","87.330","87.290","87.470","87.170","0.17%"
"03/13/2026","87.180","87.260","87.430","87.180","-0.29%"
"03/12/2026","87.430","87.480","87.560","87.320","-0.09%"
"03/11/2026","87.510","87.750","87.770","87.510","-0.68%"
"03/10/2026","88.110","88.130","88.130","87.950","0.49%"
"03/09/2026","87.680","87.170","87.680","86.940","-0.02%"
"03/06/2026","87.700","88.010","88.010","87.660","-0.28%"
"03/05/2026","87.950","88.230","88.320","87.950","-0.45%"
"03/04/2026","88.350","88.320","88.420","88.210","0.16%"
"03/03/2026","88.210","88.420","88.420","88.000","-0.54%"
"03/02/2026","88.690","88.960","88.960","88.610","-0.71%"
"02/27/2026","89.320","88.890","89.320","88.800","0.59%"
"02/26/2026","88.800","88.780","88.850","88.740","-0.02%"
"02/25/2026","88.820","88.780","88.820","88.710","0.16%"
"02/24/2026","88.680","88.710","88.780","88.680","0.03%"
"02/23/2026","88.650","88.700","88.720","88.590","0.01%"
"02/20/2026","88.640","88.640","88.670","88.580","0.06%"
"02/19/2026","88.590","88.550","88.640","88.480","0.01%"
"02/18/2026","88.580","88.560","88.610","88.530","-0.02%"
"02/17/2026","88.600","88.640","88.700","88.550","0.10%"
"02/16/2026","88.510","88.590","88.590","88.500","-0.05%"
"02/13/2026","88.550","88.410","88.550","88.410","0.18%"
"02/12/2026","88.390","88.370","88.440","88.330","0.05%"
"02/11/2026","88.350","88.380","88.390","88.260","0.01%"
"02/10/2026","88.340","88.260","88.350","88.250","0.14%"
"02/09/2026","88.220","88.170","88.220","88.080","0.02%"
"02/06/2026","88.200","88.220","88.220","88.090","0.08%"
"02/05/2026","88.130","88.060","88.130","88.010","0.06%"
"02/04/2026","88.080","88.090","88.090","88.000","0.09%"
"02/03/2026","88.000","88.050","88.060","87.950","-0.05%"
"02/02/2026","88.040","88.150","88.150","88.040","-0.10%"
"01/30/2026","88.130","88.150","88.150","88.100","-0.06%"
"01/29/2026","88.180","88.100","88.200","88.100","0.10%"
"01/28/2026","88.090","88.050","88.100","88.010","0.15%"
"01/27/2026","87.960","88.000","88.000","87.860","-0.01%"
"01/26/2026","87.970","87.930","88.030","87.850","0.19%"
"01/23/2026","87.800","87.760","87.840","87.720","0.03%"
"01/22/2026","87.770","87.740","87.860","87.740","0.03%"
"01/21/2026","87.740","87.890","87.890","87.670","-0.06%"
"01/20/2026","87.790","87.750","87.790","87.700","-0.01%"
"01/19/2026","87.800","87.750","87.820","87.730","0.15%"
"01/16/2026","87.670","87.760","87.760","87.640","-0.08%"
"01/15/2026","87.740","87.740","87.800","87.720","0.02%"
"01/14/2026","87.720","87.650","87.720","87.640","0.10%"
"01/13/2026","87.630","87.610","87.630","87.570","-0.03%"
"01/12/2026","87.660","87.580","87.680","87.570","0.01%"
"01/09/2026","87.650","87.600","87.650","87.530","0.10%"
"01/08/2026","87.560","87.490","87.560","87.490","-0.02%"
"01/07/2026","87.580","87.480","87.640","87.480","0.11%"
"01/06/2026","87.480","87.360","87.480","87.360","0.11%"
"01/05/2026","87.380","87.270","87.380","87.250","0.14%"
"01/02/2026","87.260","87.320","87.360","87.260","-0.15%"
"12/30/2025","87.390","87.370","87.460","87.360","-0.10%"
"12/29/2025","87.480","87.420","87.490","87.400","0.21%"
"12/23/2025","87.300","87.330","87.340","87.300","0.24%"
"12/22/2025","87.090","87.200","87.200","87.040","-0.11%"
"12/19/2025","87.190","87.250","87.320","87.150","-0.13%"
"12/18/2025","87.300","87.300","87.380","87.240","0.08%"
"12/17/2025","87.230","87.350","87.350","87.230","0.00%"
"12/16/2025","87.230","87.190","87.230","87.130","0.11%"
"12/15/2025","87.130","87.190","87.220","87.110","0.02%"
"12/12/2025","87.110","87.140","87.140","87.030","-0.02%"
"12/11/2025","87.130","87.080","87.170","86.960","0.13%"
"12/10/2025","87.020","87.060","87.060","86.930","-0.10%"
"12/09/2025","87.110","87.090","87.110","87.050","-0.08%"
"12/08/2025","87.180","87.200","87.220","87.150","-0.10%"
"12/05/2025","87.270","87.320","87.410","87.250","-0.09%"
"12/04/2025","87.350","87.410","87.440","87.300","-0.06%"
"12/03/2025","87.400","87.440","87.440","87.400","0.03%"
"12/02/2025","87.370","87.430","87.440","87.300","-0.08%"
"12/01/2025","87.440","87.600","87.600","87.340","-0.27%"
"11/28/2025","87.680","87.600","87.700","87.600","0.01%"
"11/27/2025","87.670","87.710","87.710","87.670","-0.08%"
"11/26/2025","87.740","87.690","87.770","87.690","0.02%"
"11/25/2025","87.720","87.560","87.720","87.560","0.18%"
"11/24/2025","87.560","87.580","87.580","87.480","0.02%"
"11/21/2025","87.540","87.520","87.560","87.520","0.08%"
"11/20/2025","87.470","87.400","87.470","87.350","0.00%"
"11/19/2025","87.470","87.510","87.620","87.430","0.05%"
"11/18/2025","87.430","87.520","87.560","87.430","-0.01%"
"11/17/2025","87.440","87.370","87.510","87.370","0.02%"
"11/14/2025","87.420","87.510","87.550","87.420","-0.22%"
"11/13/2025","87.610","87.760","87.760","87.560","-0.14%"
"11/12/2025","87.730","87.620","87.730","87.620","0.22%"
"11/11/2025","87.540","87.530","87.630","87.530","0.10%"
"11/10/2025","87.450","87.400","87.550","87.400","-0.01%"
"11/07/2025","87.460","87.360","87.500","87.360","-0.01%"
"11/06/2025","87.470","87.500","87.500","87.470","-0.06%"
"11/05/2025","87.520","87.520","87.560","87.410","-0.07%"
"11/04/2025","87.580","87.550","87.580","87.550","0.09%"
"11/03/2025","87.500","87.530","87.620","87.500","-0.01%"
"10/31/2025","87.510","87.510","87.510","87.510","-0.08%"
"10/30/2025","87.580","87.530","87.590","87.430","-0.05%"
"10/29/2025","87.620","87.550","87.620","87.500","0.05%"
"10/28/2025","87.580","87.510","87.580","87.480","0.08%"
"10/27/2025","87.510","87.520","87.520","87.500","0.01%"
"10/24/2025","87.500","87.730","87.730","87.450","-0.21%"
"10/23/2025","87.680","87.780","87.780","87.670","-0.16%"
"10/22/2025","87.820","87.890","87.890","87.770","0.05%"
"10/21/2025","87.780","87.770","87.830","87.770","0.08%"
"10/20/2025","87.710","87.780","87.780","87.630","-0.16%"
"10/17/2025","87.850","88.020","88.020","87.840","0.02%"
"10/16/2025","87.830","87.790","87.830","87.790","-0.32%"
"10/15/2025","88.110","87.610","88.110","87.600","0.65%"
"10/14/2025","87.540","87.500","87.540","87.500","0.19%"
"10/13/2025","87.370","87.240","87.370","87.240","0.19%"
"10/10/2025","87.200","87.040","87.210","87.040","0.17%"
"10/09/2025","87.050","87.070","87.180","87.050","-0.09%"
"10/08/2025","87.130","87.000","87.130","87.000","0.30%"
"10/07/2025","86.870","86.860","86.910","86.770","0.00%"
"10/06/2025","86.870","86.780","86.890","86.760","-0.13%"
"10/03/2025","86.980","87.010","87.020","86.980","0.00%"
"10/02/2025","86.980","86.990","86.990","86.950","-0.02%"
"10/01/2025","87.000","86.840","87.020","86.800","0.21%"
"09/30/2025","86.820","86.970","86.970","86.820","-0.08%"
"09/29/2025","86.890","86.880","86.900","86.840","0.18%"
"09/26/2025","86.730","86.680","86.780","86.680","0.07%"
"09/25/2025","86.670","86.730","86.740","86.640","-0.16%"
"09/24/2025","86.810","86.820","86.840","86.700","0.00%"
"09/23/2025","86.810","86.800","86.810","86.700","0.08%"
"09/22/2025","86.740","86.830","86.830","86.730","-0.05%"
"09/19/2025","86.780","86.820","86.950","86.780","-0.20%"
"09/18/2025","86.950","87.000","87.030","86.950","-0.01%"
"09/17/2025","86.960","87.040","87.040","86.960","-0.05%"
"09/16/2025","87.000","86.970","87.000","86.920","0.12%"
"09/15/2025","86.900","86.850","87.000","86.850","0.02%"
"09/12/2025","86.880","86.920","86.940","86.830","-0.28%"
"09/11/2025","87.120","87.180","87.290","87.120","-0.06%"
"09/10/2025","87.170","87.050","87.170","87.050","0.02%"
"09/09/2025","87.150","87.160","87.160","87.150","-0.03%"
"09/08/2025","87.180","86.940","87.180","86.940","0.14%"
"09/05/2025","87.060","86.870","87.080","86.820","0.25%"
"09/04/2025","86.840","86.680","86.860","86.680","0.24%"
"09/03/2025","86.630","86.550","86.630","86.460","0.12%"
"09/02/2025","86.530","86.580","86.580","86.420","-0.13%"
"09/01/2025","86.640","86.670","86.700","86.580","-0.18%"
"08/29/2025","86.800","86.860","86.860","86.800","-0.02%"
"08/28/2025","86.820","86.840","86.840","86.670","0.13%"
"08/27/2025","86.710","86.760","86.770","86.550","0.18%"
"08/26/2025","86.550","86.640","86.670","86.520","0.00%"
"08/25/2025","86.550","86.750","86.790","86.550","-0.40%"
"08/22/2025","86.900","86.670","86.900","86.660","0.30%"
"08/21/2025","86.640","86.730","86.760","86.640","-0.28%"
"08/20/2025","86.880","86.730","86.880","86.730","0.17%"
"08/19/2025","86.730","86.670","86.770","86.650","0.07%"
"08/18/2025","86.670","86.660","86.780","86.660","-0.34%"
"08/14/2025","86.970","87.120","87.150","86.970","-0.03%"
"08/13/2025","87.000","86.760","87.060","86.760","0.35%"
"08/12/2025","86.700","86.680","86.700","86.680","-0.20%"
"08/11/2025","86.870","86.890","86.900","86.770","-0.02%"
"08/08/2025","86.890","87.230","87.230","86.850","-0.26%"
"08/07/2025","87.120","87.060","87.170","87.030","0.00%"
"08/06/2025","87.120","87.140","87.150","87.100","-0.09%"
"08/05/2025","87.200","87.150","87.250","87.050","0.07%"
"08/04/2025","87.140","86.990","87.150","86.900","0.25%"
"08/01/2025","86.920","86.690","87.150","86.690","0.14%"
"07/31/2025","86.800","86.820","86.850","86.770","0.07%"
"07/30/2025","86.740","86.920","86.920","86.700","-0.15%"
"07/29/2025","86.870","86.800","86.870","86.790","0.06%"
"07/28/2025","86.820","86.750","86.910","86.750","0.17%"
"07/25/2025","86.670","86.600","86.690","86.480","-0.17%"
"07/24/2025","86.820","87.000","87.100","86.820","-0.53%"
"07/23/2025","87.280","87.240","87.300","87.210","0.18%"
"07/22/2025","87.120","87.160","87.240","87.100","-0.07%"
"07/21/2025","87.180","87.050","87.180","87.050","0.45%"
"07/18/2025","86.790","86.730","86.830","86.700","-0.07%"
