"Date","Price","Open","High","Low","Change %"
"11/15/2024","87.70","87.66","87.77","87.49","-0.02%"
"11/14/2024","87.72","87.45","87.78","87.30","0.33%"
"11/13/2024","87.43","87.67","87.67","87.24","-0.16%"
"11/12/2024","87.57","87.60","87.78","87.32","-0.16%"
"11/11/2024","87.71","87.39","87.71","87.39","0.30%"
"11/08/2024","87.45","87.26","87.54","87.24","0.19%"
"11/07/2024","87.28","87.25","87.35","86.98","-0.08%"
"11/06/2024","87.35","87.24","87.54","87.22","0.23%"
"11/05/2024","87.15","87.19","87.25","87.08","-0.11%"
"11/04/2024","87.25","87.22","87.30","87.02","0.08%"
"11/01/2024","87.18","87.06","87.42","87.06","-0.09%"
"10/31/2024","87.26","87.43","87.43","86.93","-0.02%"
"10/30/2024","87.28","87.70","87.79","87.15","-0.42%"
"10/29/2024","87.65","88.00","88.01","87.62","-0.31%"
"10/28/2024","87.92","87.80","88.01","87.54","0.14%"
"10/25/2024","87.80","88.03","88.07","87.73","-0.33%"
"10/24/2024","88.09","87.81","88.12","87.81","0.35%"
"10/23/2024","87.78","87.75","87.82","87.66","0.14%"
"10/22/2024","87.66","87.79","87.79","87.52","-0.11%"
"10/21/2024","87.76","88.29","88.29","87.74","-0.58%"
"10/18/2024","88.27","88.08","88.27","87.97","0.23%"
"10/17/2024","88.07","88.10","88.14","87.90","-0.01%"
"10/16/2024","88.08","87.86","88.08","87.86","0.23%"
"10/15/2024","87.88","87.49","87.87","87.49","0.40%"
"10/14/2024","87.53","87.46","87.61","87.44","0.03%"
"10/11/2024","87.50","87.50","87.63","87.39","-0.06%"
"10/10/2024","87.55","87.56","87.62","87.38","0.02%"
"10/09/2024","87.53","87.52","87.70","87.44","-0.02%"
"10/08/2024","87.55","87.56","87.67","87.49","0.05%"
"10/07/2024","87.51","87.83","87.83","87.49","-0.22%"
"10/04/2024","87.70","88.09","88.09","87.64","-0.48%"
"10/03/2024","88.12","88.30","88.34","88.02","-0.19%"
"10/02/2024","88.29","88.58","88.58","88.22","-0.25%"
