isincode;marketcode;referencedate;endvaluedate;pricetype;pricevalue;volume;mintoday;maxtoday;Unnamed: 9
IT0005413171;MOT;02/01/2023;03/01/2023;LP;82,55;6282000;81,96;82,63;
IT0005413171;MOT;03/01/2023;04/01/2023;LP;83,01;1824000;82,22;83,22;
IT0005413171;MOT;04/01/2023;05/01/2023;LP;84,12;1947000;83,6;84,12;
IT0005413171;MOT;05/01/2023;06/01/2023;LP;83,79;5017000;83,56;84,2;
IT0005413171;MOT;06/01/2023;09/01/2023;LP;84,69;1167000;83,86;84,69;
IT0005413171;MOT;09/01/2023;10/01/2023;LP;84,75;2926000;83,92;84,75;
IT0005413171;MOT;10/01/2023;11/01/2023;LP;84,54;1170000;84,21;84,56;
IT0005413171;MOT;11/01/2023;12/01/2023;LP;85,41;4093000;84,62;85,56;
IT0005413171;MOT;12/01/2023;13/01/2023;LP;85,82;2983000;85,5;86,24;
IT0005413171;MOT;13/01/2023;16/01/2023;LP;85,9;4144000;85,9;86,5;
IT0005413171;MOT;16/01/2023;17/01/2023;LP;85,74;17192000;85,33;85,91;
IT0005413171;MOT;17/01/2023;18/01/2023;LP;86,63;7747000;85,4;86,75;
IT0005413171;MOT;18/01/2023;19/01/2023;LP;87,35;1894000;86,26;87,59;
IT0005413171;MOT;19/01/2023;20/01/2023;LP;87,1;3177000;86,61;87,57;
IT0005413171;MOT;20/01/2023;23/01/2023;LP;85,98;11575000;85,98;86,92;
IT0005413171;MOT;23/01/2023;24/01/2023;LP;85,77;736000;85,48;86,01;
IT0005413171;MOT;24/01/2023;25/01/2023;LP;86,18;640000;85,69;86,18;
IT0005413171;MOT;25/01/2023;26/01/2023;LP;85,88;740000;85,88;86,59;
IT0005413171;MOT;26/01/2023;27/01/2023;LP;85,62;1096000;85,62;86,2;
IT0005413171;MOT;27/01/2023;30/01/2023;LP;85,12;3897000;84,98;85,48;
IT0005413171;MOT;30/01/2023;31/01/2023;LP;84,6;890000;84,55;85,2;
IT0005413171;MOT;31/01/2023;03/02/2023;LP;84,84;2500000;84,61;85,07;
IT0005413171;MOT;03/02/2023;06/02/2023;LP;86,55;2021000;86,4;87,06;
IT0005413171;MOT;06/02/2023;07/02/2023;LP;85,73;985000;85,72;86,17;
IT0005413171;MOT;07/02/2023;08/02/2023;LP;85,56;1127000;85,4;85,75;
IT0005413171;MOT;08/02/2023;09/02/2023;LP;85,19;3487000;84,92;85,3;
IT0005413171;MOT;09/02/2023;10/02/2023;LP;85,71;3182000;85,51;86,03;
IT0005413171;MOT;10/02/2023;13/02/2023;LP;85,34;2751000;85,25;85,59;
IT0005413171;MOT;13/02/2023;14/02/2023;LP;85,41;1765000;85,03;85,55;
IT0005413171;MOT;14/02/2023;15/02/2023;LP;85,17;3413000;85,17;85,89;
