isincode;marketcode;referencedate;endvaluedate;pricetype;pricevalue;volume;mintoday;maxtoday;Unnamed: 9
FR0013451507;MOT;02/01/2023;03/01/2023;LP;82,88;34000;82,88;82,89;
FR0013451507;MOT;03/01/2023;04/01/2023;RP;83,17;0;0;0;
FR0013451507;MOT;04/01/2023;05/01/2023;RP;83,75;0;0;0;
FR0013451507;MOT;05/01/2023;06/01/2023;RP;83,59;0;0;0;
FR0013451507;MOT;06/01/2023;09/01/2023;RP;84,24;0;0;0;
FR0013451507;MOT;09/01/2023;10/01/2023;LP;84;1000;84;84;
FR0013451507;MOT;10/01/2023;11/01/2023;RP;83,76;0;0;0;
FR0013451507;MOT;11/01/2023;12/01/2023;RP;84,35;0;0;0;
FR0013451507;MOT;12/01/2023;13/01/2023;LP;84,78;10000;84,78;84,78;
FR0013451507;MOT;13/01/2023;16/01/2023;RP;84,71;0;0;0;
FR0013451507;MOT;16/01/2023;17/01/2023;RP;84,62;0;0;0;
FR0013451507;MOT;17/01/2023;18/01/2023;RP;85,28;0;0;0;
FR0013451507;MOT;18/01/2023;19/01/2023;LP;85,32;3000;85,32;85,32;
FR0013451507;MOT;19/01/2023;20/01/2023;RP;85,35;0;0;0;
FR0013451507;MOT;20/01/2023;23/01/2023;RP;84,88;0;0;0;
FR0013451507;MOT;23/01/2023;24/01/2023;LP;85,02;100000;85,01;85,02;
FR0013451507;MOT;24/01/2023;25/01/2023;RP;84,87;0;0;0;
FR0013451507;MOT;25/01/2023;26/01/2023;LP;85,08;5000;85,08;85,08;
FR0013451507;MOT;26/01/2023;27/01/2023;RP;84,51;0;0;0;
FR0013451507;MOT;27/01/2023;30/01/2023;RP;84,34;0;0;0;
FR0013451507;MOT;30/01/2023;31/01/2023;RP;83,94;0;0;0;
FR0013451507;MOT;31/01/2023;03/02/2023;LP;84,19;11000;84,08;84,19;
FR0013451507;MOT;03/02/2023;06/02/2023;RP;84,84;0;0;0;
FR0013451507;MOT;06/02/2023;07/02/2023;RP;84,26;0;0;0;
FR0013451507;MOT;07/02/2023;08/02/2023;RP;84,1;0;0;0;
FR0013451507;MOT;08/02/2023;09/02/2023;LP;84;10000;84;84;
FR0013451507;MOT;09/02/2023;10/02/2023;RP;84,08;0;0;0;
FR0013451507;MOT;10/02/2023;13/02/2023;LP;83,78;15000;83,6;83,78;
FR0013451507;MOT;13/02/2023;14/02/2023;LP;83,96;80000;83,96;83,96;
FR0013451507;MOT;14/02/2023;15/02/2023;LP;83,75;10000;83,75;83,75;
FR0013451507;MOT;15/02/2023;16/02/2023;RP;83,02;0;0;0;
FR0013451507;MOT;16/02/2023;17/02/2023;LP;83,23;5000;82,95;83,23;
