"Date","Price","Open","High","Low","Change %"
"03/27/2026","93.010","92.660","93.010","92.370","0.18%"
"03/26/2026","92.840","93.150","93.170","92.840","-0.65%"
"03/25/2026","93.450","93.250","93.560","93.250","0.35%"
"03/24/2026","93.120","93.510","93.510","92.900","-0.24%"
"03/23/2026","93.340","92.660","93.830","90.910","0.24%"
"03/20/2026","93.120","93.920","93.920","93.100","-0.66%"
"03/19/2026","93.740","93.740","93.850","93.370","-0.30%"
"03/18/2026","94.020","94.500","94.520","93.950","-0.27%"
"03/17/2026","94.270","94.180","94.430","94.170","0.14%"
"03/16/2026","94.140","93.990","94.320","93.970","0.27%"
"03/13/2026","93.890","93.870","94.180","93.870","-0.23%"
"03/12/2026","94.110","94.180","94.330","93.920","-0.21%"
"03/11/2026","94.310","94.690","94.690","94.270","-0.67%"
"03/10/2026","94.950","95.040","95.040","94.720","0.56%"
"03/09/2026","94.420","93.820","94.500","93.720","0.01%"
"03/06/2026","94.410","94.910","94.910","94.180","-0.41%"
"03/05/2026","94.800","95.210","95.330","94.800","-0.68%"
"03/04/2026","95.450","95.200","95.450","95.120","0.37%"
"03/03/2026","95.100","95.450","95.450","94.980","-0.68%"
"03/02/2026","95.750","96.050","96.050","95.710","-0.37%"
"02/27/2026","96.110","95.990","96.110","95.940","0.14%"
"02/26/2026","95.980","95.960","96.030","95.910","0.00%"
"02/25/2026","95.980","95.940","95.980","95.900","0.04%"
"02/24/2026","95.940","95.940","95.960","95.890","0.03%"
"02/23/2026","95.910","95.840","95.920","95.810","0.13%"
"02/20/2026","95.790","95.830","95.830","95.750","-0.02%"
"02/19/2026","95.810","95.750","95.810","95.710","-0.04%"
"02/18/2026","95.850","95.810","95.860","95.770","0.04%"
"02/17/2026","95.810","95.870","95.870","95.800","0.04%"
"02/16/2026","95.770","95.850","95.860","95.720","0.01%"
"02/13/2026","95.760","95.740","95.820","95.700","0.06%"
"02/12/2026","95.700","95.600","95.720","95.600","0.04%"
"02/11/2026","95.660","95.670","95.670","95.510","0.03%"
"02/10/2026","95.630","95.550","95.630","95.510","0.13%"
"02/09/2026","95.510","95.440","95.520","95.370","0.10%"
"02/06/2026","95.410","95.430","95.480","95.380","0.06%"
"02/05/2026","95.350","95.310","95.380","95.250","-0.01%"
"02/04/2026","95.360","95.300","95.370","95.280","0.12%"
